loss,mean_squared_error,val_loss,val_mean_squared_error,learning_rate
631337.8125,631337.8125,435179.4375,435179.4375,0.0010000000474974513
471408.96875,471408.96875,425009.625,425009.625,0.0010000000474974513
466099.1875,466099.1875,420713.90625,420713.90625,0.0010000000474974513
460430.34375,460430.34375,415808.59375,415808.59375,0.0010000000474974513
456265.65625,456265.65625,411161.8125,411161.8125,0.0010000000474974513
462222.0,462222.0,408357.0625,408357.0625,0.0010000000474974513
450317.40625,450317.40625,403650.9375,403650.9375,0.0010000000474974513
440135.28125,440135.28125,402296.75,402296.75,0.0010000000474974513
436615.5,436615.5,398270.09375,398270.09375,0.0010000000474974513
433990.75,433990.75,394628.34375,394628.34375,0.0010000000474974513
428963.71875,428963.71875,393579.03125,393579.03125,0.0010000000474974513
427629.09375,427629.09375,388929.09375,388929.09375,0.0010000000474974513
427896.625,427896.625,386837.03125,386837.03125,0.0010000000474974513
419323.0,419323.0,382236.09375,382236.09375,0.0010000000474974513
417255.375,417255.375,380828.71875,380828.71875,0.0010000000474974513
417956.28125,417956.28125,379683.21875,379683.21875,0.0010000000474974513
413749.0,413749.0,378661.90625,378661.90625,0.0010000000474974513
417235.96875,417235.96875,377053.0,377053.0,0.0010000000474974513
412627.3125,412627.3125,372745.6875,372745.6875,0.0010000000474974513
404566.5625,404566.5625,371948.40625,371948.40625,0.0010000000474974513
403751.875,403751.875,365529.375,365529.375,0.0010000000474974513
398988.34375,398988.34375,361122.25,361122.25,0.0010000000474974513
402834.53125,402834.53125,364238.0,364238.0,0.0010000000474974513
399348.75,399348.75,358889.40625,358889.40625,0.0010000000474974513
396763.4375,396763.4375,360565.53125,360565.53125,0.0010000000474974513
399834.75,399834.75,354432.9375,354432.9375,0.0010000000474974513
390174.28125,390174.28125,356610.90625,356610.90625,0.0010000000474974513
388684.46875,388684.46875,351678.0,351678.0,0.0010000000474974513
387147.21875,387147.21875,351687.46875,351687.46875,0.0010000000474974513
383191.03125,383191.03125,351721.65625,351721.65625,0.0010000000474974513
383304.96875,383304.96875,349294.75,349294.75,0.0010000000474974513
398073.90625,398073.90625,346352.09375,346352.09375,0.0010000000474974513
381828.46875,381828.46875,351528.65625,351528.65625,0.0010000000474974513
381862.125,381862.125,352999.1875,352999.1875,0.0010000000474974513
378507.96875,378507.96875,340932.78125,340932.78125,0.0010000000474974513
376729.34375,376729.34375,349036.125,349036.125,0.0010000000474974513
384453.1875,384453.1875,342927.96875,342927.96875,0.0010000000474974513
367982.40625,367982.40625,346147.9375,346147.9375,0.0010000000474974513
373115.65625,373115.65625,334089.53125,334089.53125,0.0010000000474974513
365971.34375,365971.34375,331731.5,331731.5,0.0010000000474974513
364261.375,364261.375,331564.34375,331564.34375,0.0010000000474974513
372405.0,372405.0,331414.6875,331414.6875,0.0010000000474974513
365049.5,365049.5,330199.15625,330199.15625,0.0010000000474974513
362094.84375,362094.84375,331276.34375,331276.34375,0.0010000000474974513
364287.125,364287.125,327144.09375,327144.09375,0.0010000000474974513
354829.375,354829.375,330223.28125,330223.28125,0.0010000000474974513
363291.90625,363291.90625,326581.625,326581.625,0.0010000000474974513
353143.15625,353143.15625,325639.40625,325639.40625,0.0010000000474974513
360709.53125,360709.53125,323838.28125,323838.28125,0.0010000000474974513
360081.1875,360081.1875,326686.9375,326686.9375,0.0010000000474974513
350813.125,350813.125,320288.34375,320288.34375,0.0010000000474974513
358701.8125,358701.8125,323603.09375,323603.09375,0.0010000000474974513
352170.625,352170.625,327543.3125,327543.3125,0.0010000000474974513
351968.90625,351968.90625,320060.09375,320060.09375,0.0010000000474974513
351267.34375,351267.34375,322456.28125,322456.28125,0.0010000000474974513
350836.125,350836.125,321878.9375,321878.9375,0.0010000000474974513
347187.40625,347187.40625,321055.09375,321055.09375,0.0010000000474974513
353029.46875,353029.46875,322355.40625,322355.40625,0.0010000000474974513
348989.5625,348989.5625,317019.375,317019.375,0.0010000000474974513
350112.75,350112.75,320583.375,320583.375,0.0010000000474974513
350110.5625,350110.5625,321502.375,321502.375,0.0010000000474974513
389572.9375,389572.9375,320439.0625,320439.0625,0.0010000000474974513
345799.53125,345799.53125,316354.5,316354.5,0.0010000000474974513
343406.96875,343406.96875,322627.8125,322627.8125,0.0010000000474974513
339106.4375,339106.4375,317178.6875,317178.6875,0.0010000000474974513
346781.46875,346781.46875,316963.71875,316963.71875,0.0010000000474974513
343382.34375,343382.34375,316310.6875,316310.6875,0.0010000000474974513
344662.21875,344662.21875,316692.5,316692.5,0.0010000000474974513
345796.15625,345796.15625,314707.40625,314707.40625,0.0010000000474974513
