loss,mean_squared_error,val_loss,val_mean_squared_error,learning_rate
1043767.5,1043762.875,486024.75,486020.25,9.999999747378752e-05
481938.3125,481933.71875,464527.5625,464522.875,9.999999747378752e-05
465981.84375,465977.59375,451654.65625,451650.3125,9.999999747378752e-05
454655.59375,454651.03125,443463.375,443459.0625,9.999999747378752e-05
452878.0625,452873.84375,437630.65625,437626.0,9.999999747378752e-05
444456.375,444451.875,433983.4375,433978.9375,9.999999747378752e-05
444441.375,444436.6875,430395.6875,430391.25,9.999999747378752e-05
435452.15625,435447.71875,427585.96875,427581.4375,9.999999747378752e-05
434168.0625,434163.8125,424974.78125,424970.125,9.999999747378752e-05
433948.6875,433944.3125,422718.84375,422714.28125,9.999999747378752e-05
431649.84375,431645.4375,421126.125,421121.5,9.999999747378752e-05
428419.125,428414.90625,419119.75,419114.96875,9.999999747378752e-05
425847.96875,425843.90625,417419.875,417415.71875,9.999999747378752e-05
424524.96875,424520.0,415515.0625,415510.40625,9.999999747378752e-05
420518.09375,420513.84375,413631.8125,413627.25,9.999999747378752e-05
420682.6875,420678.09375,412431.21875,412426.59375,9.999999747378752e-05
422157.0625,422152.1875,410375.46875,410370.6875,9.999999747378752e-05
420352.96875,420348.21875,409320.875,409315.90625,9.999999747378752e-05
416579.03125,416574.0,407218.5625,407213.53125,9.999999747378752e-05
416574.78125,416569.75,406295.40625,406290.34375,9.999999747378752e-05
413920.375,413915.09375,404389.25,404384.5,9.999999747378752e-05
413834.125,413828.90625,403079.8125,403074.3125,9.999999747378752e-05
411113.84375,411108.21875,401658.90625,401653.84375,9.999999747378752e-05
408971.4375,408966.1875,399816.53125,399810.90625,9.999999747378752e-05
406604.75,406599.34375,398827.875,398822.59375,9.999999747378752e-05
407068.21875,407062.5625,397303.6875,397298.1875,9.999999747378752e-05
408916.21875,408911.0625,396065.0625,396059.59375,9.999999747378752e-05
404790.625,404784.65625,395109.34375,395103.78125,9.999999747378752e-05
402162.71875,402157.5,392979.875,392974.15625,9.999999747378752e-05
401948.46875,401942.625,392112.28125,392106.28125,9.999999747378752e-05
400724.75,400718.8125,390757.90625,390751.75,9.999999747378752e-05
401234.65625,401228.53125,389077.15625,389071.34375,9.999999747378752e-05
397097.03125,397090.5,387883.71875,387877.5625,9.999999747378752e-05
399129.78125,399124.0,386664.03125,386657.6875,9.999999747378752e-05
393361.59375,393355.4375,385425.71875,385419.40625,9.999999747378752e-05
393285.09375,393278.4375,384283.6875,384277.15625,9.999999747378752e-05
397649.875,397643.34375,383672.25,383666.0625,9.999999747378752e-05
391166.5625,391159.96875,382270.34375,382263.6875,9.999999747378752e-05
391617.0625,391609.28125,381151.65625,381144.96875,9.999999747378752e-05
389921.71875,389915.21875,380085.15625,380078.3125,9.999999747378752e-05
392573.53125,392566.5,379105.46875,379098.34375,9.999999747378752e-05
388342.8125,388335.125,378096.71875,378089.6875,9.999999747378752e-05
388761.40625,388754.03125,376957.84375,376950.75,9.999999747378752e-05
388389.125,388381.625,376388.78125,376381.15625,9.999999747378752e-05
388869.40625,388862.21875,375362.4375,375355.4375,9.999999747378752e-05
386461.34375,386454.40625,374197.15625,374189.59375,9.999999747378752e-05
387857.53125,387849.5625,372989.78125,372982.5,9.999999747378752e-05
386588.1875,386580.625,372606.375,372598.875,9.999999747378752e-05
385158.625,385150.53125,371914.90625,371907.34375,9.999999747378752e-05
385062.71875,385054.78125,370443.375,370435.3125,9.999999747378752e-05
380492.53125,380484.78125,369659.25,369651.1875,9.999999747378752e-05
378122.34375,378114.84375,368673.34375,368665.53125,9.999999747378752e-05
380065.6875,380057.03125,368062.375,368054.40625,9.999999747378752e-05
381734.53125,381726.15625,367172.1875,367163.875,9.999999747378752e-05
376042.34375,376033.90625,366332.09375,366323.5625,9.999999747378752e-05
375662.0,375653.375,365041.25,365032.875,9.999999747378752e-05
379386.875,379378.625,364546.40625,364538.3125,9.999999747378752e-05
373338.09375,373330.09375,363517.65625,363508.84375,9.999999747378752e-05
376803.46875,376794.65625,363450.65625,363441.625,9.999999747378752e-05
372607.1875,372597.78125,363487.0,363478.25,9.999999747378752e-05
374635.65625,374627.5625,361167.15625,361158.125,9.999999747378752e-05
372886.9375,372878.46875,361007.0625,360998.0,9.999999747378752e-05
371207.125,371198.375,360104.1875,360095.09375,9.999999747378752e-05
372775.5,372766.09375,359683.4375,359674.34375,9.999999747378752e-05
372631.78125,372622.53125,358691.5,358682.34375,9.999999747378752e-05
368881.65625,368872.625,357541.53125,357532.5,9.999999747378752e-05
366617.90625,366607.71875,357262.8125,357253.34375,9.999999747378752e-05
372041.84375,372032.15625,356087.40625,356078.03125,9.999999747378752e-05
370378.28125,370368.8125,355747.21875,355737.53125,9.999999747378752e-05
364885.125,364875.34375,354865.96875,354856.5,9.999999747378752e-05
364975.375,364966.34375,354468.5625,354458.53125,9.999999747378752e-05
364412.84375,364403.21875,353591.65625,353581.59375,9.999999747378752e-05
366389.3125,366379.5625,352542.625,352532.84375,9.999999747378752e-05
366750.34375,366740.96875,351528.75,351519.03125,9.999999747378752e-05
366132.0,366122.53125,351326.5625,351316.65625,9.999999747378752e-05
364891.6875,364881.21875,350702.0625,350691.96875,9.999999747378752e-05
364700.28125,364689.5,349696.0,349685.53125,9.999999747378752e-05
363841.28125,363831.1875,349216.5,349206.25,9.999999747378752e-05
362722.71875,362712.1875,348999.90625,348989.34375,9.999999747378752e-05
360057.625,360046.5,348121.53125,348111.03125,9.999999747378752e-05
356237.5,356226.46875,347214.78125,347203.90625,9.999999747378752e-05
359041.625,359030.71875,346557.03125,346546.1875,9.999999747378752e-05
359796.375,359785.875,346161.34375,346150.5625,9.999999747378752e-05
362220.5,362209.5625,345719.375,345708.4375,9.999999747378752e-05
359531.28125,359520.71875,344372.46875,344361.40625,9.999999747378752e-05
357920.8125,357909.96875,343870.625,343859.4375,9.999999747378752e-05
355371.9375,355360.34375,343480.03125,343469.03125,9.999999747378752e-05
355568.90625,355557.6875,342879.5,342867.8125,9.999999747378752e-05
354924.3125,354913.1875,342050.46875,342038.9375,9.999999747378752e-05
357512.15625,357501.0,341641.65625,341630.125,9.999999747378752e-05
354454.03125,354443.0,340849.78125,340838.0625,9.999999747378752e-05
354557.96875,354546.90625,340468.84375,340456.9375,9.999999747378752e-05
349757.09375,349745.0625,340389.90625,340378.21875,9.999999747378752e-05
349747.9375,349735.875,338842.28125,338830.65625,9.999999747378752e-05
350889.5,350877.6875,338557.25,338545.65625,9.999999747378752e-05
350832.15625,350819.65625,337934.78125,337922.65625,9.999999747378752e-05
348476.1875,348464.09375,337884.4375,337872.4375,9.999999747378752e-05
351209.09375,351197.0,337481.28125,337469.0625,9.999999747378752e-05
349191.90625,349180.0625,336707.5625,336695.1875,9.999999747378752e-05
348597.125,348584.8125,336176.03125,336163.65625,9.999999747378752e-05
346550.875,346538.59375,335321.625,335309.40625,9.999999747378752e-05
350719.40625,350706.6875,333899.9375,333887.75,9.999999747378752e-05
343794.65625,343782.0,335143.875,335131.15625,9.999999747378752e-05
343331.4375,343319.625,333501.9375,333489.28125,9.999999747378752e-05
343878.71875,343866.375,333182.5,333169.96875,9.999999747378752e-05
344115.5625,344102.90625,332451.65625,332438.71875,9.999999747378752e-05
346831.0625,346817.6875,333147.0625,333134.0,9.999999747378752e-05
345710.9375,345697.9375,331661.4375,331648.125,9.999999747378752e-05
347997.15625,347984.0,331780.625,331767.53125,9.999999747378752e-05
341607.75,341595.125,331304.90625,331291.65625,9.999999747378752e-05
338481.96875,338468.5,331062.3125,331049.0,9.999999747378752e-05
344890.15625,344876.75,329717.65625,329704.0,9.999999747378752e-05
340609.125,340595.15625,330263.375,330249.90625,9.999999747378752e-05
340997.75,340984.28125,329745.59375,329732.0625,9.999999747378752e-05
338383.96875,338370.34375,328550.21875,328536.65625,9.999999747378752e-05
342490.21875,342476.46875,327765.875,327752.375,9.999999747378752e-05
340284.5625,340270.21875,329332.53125,329318.59375,9.999999747378752e-05
341649.90625,341636.5,328103.375,328089.875,9.999999747378752e-05
343461.59375,343448.25,328854.5,328840.8125,9.999999747378752e-05
335974.9375,335961.625,327056.5625,327042.59375,4.999999873689376e-05
335242.28125,335228.59375,326891.1875,326877.15625,4.999999873689376e-05
337051.53125,337038.0625,326522.25,326508.125,4.999999873689376e-05
339811.4375,339796.9375,326423.15625,326408.96875,4.999999873689376e-05
333027.40625,333013.625,326223.0,326208.9375,4.999999873689376e-05
336607.625,336593.4375,326163.0,326148.75,4.999999873689376e-05
335843.9375,335830.375,325512.03125,325497.625,4.999999873689376e-05
332401.3125,332387.21875,325622.40625,325607.90625,4.999999873689376e-05
336051.25,336037.28125,325740.0,325725.6875,4.999999873689376e-05
335396.0625,335381.34375,325367.625,325353.03125,4.999999873689376e-05
336586.09375,336572.0625,324827.09375,324812.78125,4.999999873689376e-05
333840.0,333825.5625,325251.21875,325236.71875,4.999999873689376e-05
333941.4375,333927.15625,325058.34375,325043.8125,4.999999873689376e-05
334354.28125,334340.03125,325027.6875,325013.125,4.999999873689376e-05
335529.5625,335515.34375,324410.28125,324395.84375,2.499999936844688e-05
332090.84375,332076.40625,323993.46875,323978.875,2.499999936844688e-05
329638.9375,329623.90625,324060.9375,324046.4375,2.499999936844688e-05
333398.125,333383.1875,323825.75,323811.1875,2.499999936844688e-05
331675.6875,331660.8125,323968.9375,323954.5,2.499999936844688e-05
332307.0,332292.40625,323756.25,323741.71875,2.499999936844688e-05
330349.625,330335.09375,323577.28125,323562.75,2.499999936844688e-05
336144.1875,336129.59375,323505.09375,323490.28125,2.499999936844688e-05
331019.09375,331004.9375,323352.6875,323338.15625,2.499999936844688e-05
332997.53125,332982.875,323504.6875,323490.21875,2.499999936844688e-05
330232.46875,330217.5,323676.90625,323662.09375,2.499999936844688e-05
334466.28125,334451.5625,323658.59375,323643.9375,2.499999936844688e-05
330976.84375,330962.03125,323189.34375,323174.6875,1.249999968422344e-05
334628.0,334612.875,323073.125,323058.375,1.249999968422344e-05
330820.625,330805.28125,323020.875,323006.0625,1.249999968422344e-05
325942.71875,325928.0625,323092.5625,323077.9375,1.249999968422344e-05
330448.1875,330433.28125,322998.25,322983.4375,1.249999968422344e-05
